标准号,国际标准编号,采标类型
GB/T 27043-2025,ISO/IEC 17043：2023,等同采用
GB/T 45914-2025,,
GB/T 45850.1-2025,ISO 6599-1:1983,修改采用
GB/T 45159.6-2025,ISO 18437-6:2017,等同采用
GB/T 22118-2025,,
GB/T 45159.4-2025,ISO 18437-4:2008,等同采用
GB/T 45851-2025,IEC 61400-50:2022,等同采用
GB/T 45159.5-2025,ISO 18437-5:2011,等同采用
GB/T 45854-2025,,
GB/T 22120-2025,,
GB/T 31952-2025,,
GB/T 45855-2025,,
GB/T 45853-2025,,
GB/T 45856-2025,ISO 19685:2017,等同采用
GB/T 40344.4-2025,ISO 21360-4:2018,等同采用
GB/T 45703-2025,ISO 31700-1:2023,等同采用
GB/T 19560-2025,,
GB/T 7702.20-2025,,
GB/T 45857-2025,,
GB/T 45858-2025,,
GB/T 45953-2025,ISO 28000:2022,非等效采用
GB/T 45950-2025,,
GB/T 45980-2025,ISO 12384:2010,修改采用
GB/T 45978-2025,ISO 6771:2007,修改采用
GB/T 25737-2025,,
GB/T 45842-2025,,
GB/T 29855-2025,,
GB/T 26907-2025,,
GB/T 28683-2025,,
GB/T 45952-2025,,
GB/T 46000-2025,,
GB/T 45997-2025,,
GB/T 45993-2025,,
GB/T 34399-2025,,
GB 45841-2025,,
GB/T 45923.2-2025,,
GB/T 45892.1-2025,,
GB/T 45949-2025,,
GB/T 45907-2025,,
GB/T 45933-2025,,
GB/T 16432-2025,ISO 9999:2022,等同采用
GB/T 45917-2025,,
GB/T 30658-2025,ISO 29782:2022,等同采用
GB/T 45916-2025,ISO 17069:2020,等同采用
GB/T 45935-2025,,
GB/T 45936-2025,,
GB/T 45805-2025,,
GB/T 45872-2025,,
GB/T 19310-2025,ISO 10088:2022,等同采用
GB/T 45844-2025,ISO/TR 37152:2016,修改采用
GB/T 37228-2025,ISO 22320:2018,修改采用
GB/T 45800.2-2025,,
GB/T 32319-2025,ISO 21586:2020,修改采用
GB/T 45814-2025,,
GB/T 18389-2025,,
GB/T 45806-2025,ISO 4914:2021,等同采用
GB/T 27929-2025,ISO 16609:2022,修改采用
GB/T 20894-2025,ISO 14895:2016,等同采用
GB/T 19316-2025,ISO 23411:2020,等同采用
GB/T 33435-2025,ISO 12133:2021,等同采用
GB/T 45845.2-2025,ISO 37155-2:2021,等同采用
GB/T 45911-2025,,
GB/T 6974.4-2025,ISO 4306-4:2020,修改采用
GB/T 45881-2025,,
GB/T 45884-2025,,
GB/T 45886-2025,,
GB/T 20483-2025,,
GB/T 45890-2025,,
GB/T 45889-2025,,
GB/T 45896-2025,,
GB/T 7024-2025,,
GB/T 45846-2025,ISO 2533:1975,修改采用
GB/T 45847-2025,ISO 2434:1973,等同采用
GB/T 45843-2025,IEC 63152:2020,等同采用
GB/T 45845.1-2025,ISO 37155-1:2020,等同采用
GB/T 45807-2025,,
GB/T 18578-2025,,
GB/T 45791-2025,,
GB/T 45792-2025,,
GB/T 45748-2025,,
GB/T 45747-2025,,
GB/T 45683-2025,ISO 22081:2021,等同采用
GB/T 45820-2025,,
GB/T 19348.2-2025,ISO 11699-2:2018,等同采用
GB/T 23904-2025,,
GB/T 31082-2025,,
GB/T 16857.13-2025,ISO 10360-13:2021,修改采用
GB/T 45702-2025,ISO 16495:2022,修改采用
GB/T 45821-2025,,
GB/T 33682-2025,,
GB/T 33490-2025,,
GB/T 17934.6-2025,ISO 12647-6:2020,等同采用
GB/T 19437-2025,ISO 13655:2017,等同采用
GB/T 33455-2025,,
GB/T 20049-2025,,
GB/T 45690-2025,,
GB/T 45621-2025,,
GB/T 45691-2025,,
GB/T 45785-2025,,
GB/T 44554.2-2025,,
GB/T 44554.4-2025,,
GB/T 20441.7-2025,IEC TS 61094-7:2006,等同采用
GB/T 157-2025,ISO 1119:2011,修改采用
GB/T 14598.27-2025,IEC 60255-27:2023,修改采用
GB/T 45783-2025,,
GB/T 20183.4-2025,ISO 5682-4:2021,等同采用
GB/T 20441.8-2025,IEC 61094-8:2012,等同采用
GB/T 17889.6-2025,,
GB/T 17889.5-2025,,
GB/T 15754-2025,ISO 3040:2016,修改采用
GB/T 45742-2025,,
GB/T 45699-2025,,
GB/T 45698-2025,,
GB/T 45700-2025,,
GB/T 45692-2025,,
GB/T 45695-2025,,
GB/T 45704-2025,,
GB/T 45696-2025,,
GB/T 24635.3-2025,ISO 15530-3:2011,修改采用
GB/T 45729-2025,,
GB/T 45675-2025,,
GB/T 45676-2025,,
GB/T 45782-2025,ISO 20691:2022,等同采用
GB/T 45713.4-2025,IEC 62137-4:2014,修改采用
GB/T 21711.10-2025,IEC 61810-10:2019,等同采用
GB/T 45731-2025,,
GB/T 45754-2025,,
