标准号,国际标准编号,采标类型
GB/T 5832.1-2016,,
GB/T 33325-2016,,
GB/T 33312-2016,ISO 11909:2007,修改采用
GB/T 33327-2016,,
GB/T 33335-2016,,
GB/T 33330-2016,,
GB/T 33322-2016,,
GB/T 1186-2016,ISO 2398:2006,等同采用
GB/T 33226-2016,,
GB/T 22638.2-2016,,
GB/T 22638.4-2016,,
GB/T 33227-2016,,
GB/T 33230-2016,,
GB/T 33203.2-2016,,
GB/T 27203-2016,ISO/IEC TS 17027:2014,等同采用
GB/T 19710.2-2016,ISO 19115-2:2009,等同采用
GB/T 33080-2016,,
GB/T 31051.4-2016,ISO 12210-4:1998,等同采用
GB/T 20863.2-2016,ISO 4301-2:2009,等同采用
GB/T 4341.2-2016,,
GB/T 18789.2-2016,,
GB/T 20027.1-2016,ISO 3303-1:2012,等同采用
GB/T 33055-2016,,
GB/T 33061.10-2016,ISO 6721-10:1999,修改采用
GB/T 33146-2016,,
GB/T 33141-2016,,
GB/T 33084-2016,,
GB/T 33149.1-2016,,
GB/T 6406-2016,ISO 6106:2013,修改采用
GB/T 32998-2016,ISO 29081:2010,等同采用
GB/T 17748-2016,,
GB/T 1511-2016,ISO 6233:1983,修改采用
GB/T 33159-2016,,
GB/T 33167-2016,,
GB/T 20564.9-2016,,
GB/T 6730.20-2016,,
GB/T 6730.21-2016,,
GB/T 33173-2016,ISO 55001:2014,等同采用
GB/T 19187-2016,,
GB/T 33058-2016,,
GB/T 33071-2016,,
GB/T 33063-2016,,
GB/T 33059-2016,,
GB/T 32991-2016,,
GB/T 32990-2016,,
GB/T 22412-2016,,
GB/T 32995-2016,,
GB/T 33092-2016,,
GB/T 33091-2016,,
GB/T 33089-2016,,
GB/T 33099-2016,,
GB/T 33172-2016,ISO 55000:2014,等同采用
GB/T 33182-2016,,
GB/T 33065-2016,,
GB/T 33047.1-2016,ISO 11358-1:2014,修改采用
GB/T 1845.1-2016,ISO 17855-1:2014,修改采用
GB/T 14571.1-2016,,
GB/T 33178-2016,,
GB/T 33188.1-2016,ISO 19101-1:2014,等同采用
GB/T 31052.3-2016,,
GB/T 33101-2016,,
GB/T 33098-2016,,
GB/T 33103-2016,,
GB/T 33093-2016,,
GB/T 33088-2016,,
GB/T 33187.2-2016,ISO 19125-2:2004,等同采用
GB/T 33187.1-2016,ISO 19125-1:2004,等同采用
GB/T 33170.1-2016,,
GB/T 33132-2016,,
GB/T 33137-2016,,
GB/T 33148-2016,ISO 857-2:2005,修改采用
GB/T 33150-2016,,
GB/T 6730.9-2016,,
GB/T 32419.4-2016,,
GB/T 25000.10-2016,ISO/IEC 25010:2011,修改采用
GB/T 33131-2016,,
GB/T 10662-2016,,
GB/T 33030-2016,,
GB/T 33028-2016,,
GB/T 33025-2016,,
GB/T 13679-2016,,
GB/T 33151-2016,,
GB/T 33147-2016,,
GB/T 19867.6-2016,ISO 15609-6:2013,修改采用
GB/T 33149.2-2016,,
GB/T 32997-2016,ISO 11505:2012,等同采用
GB/T 33051-2016,,
GB/T 32999-2016,ISO/TR 22335:2007,等同采用
GB/T 33086-2016,,
GB/T 33085-2016,,
GB/T 33104-2016,,
GB/T 13549-2016,,
GB/T 10531-2016,,
GB/T 33095.1-2016,,
GB/T 33010-2016,,
GB/T 33066-2016,,
GB/T 33027-2016,,
GB/T 5849-2016,,
GB/T 33041-2016,,
GB/T 33023-2016,,
GB/T 33024-2016,,
GB/T 32996-2016,ISO/TS 25138:2010,等同采用
GB/T 4840-2016,,
GB/T 18826-2016,,
GB/T 33052-2016,,
GB/T 33012.3-2016,ISO 11451-3:2007,修改采用
GB/T 33014.5-2016,ISO 11452-5:2002,修改采用
GB/T 33016-2016,,
GB/T 33012.1-2016,ISO 11451-1:2005,修改采用
GB/T 33015-2016,,
GB/T 33083-2016,,
GB/T 32986-2016,,
GB/T 2476-2016,,
GB/T 3615-2016,,
GB/T 4750-2016,,
GB/T 24603-2016,,
GB/T 32992-2016,,
GB/T 31052.2-2016,,
GB/T 33082-2016,,
GB/T 33018.3-2016,,
GB/T 33018.1-2016,,
GB/T 33017.2-2016,,
GB/T 33017.3-2016,,
GB/T 33018.2-2016,,
GB/T 14396-2016,,
GB/T 32987-2016,,
GB/T 32989-2016,,
GB/T 33002-2016,ISO 29764:2008,等同采用
GB/T 33001-2016,ISO 12344:2010,等同采用
GB/T 33117-2016,,
GB/T 33122-2016,,
GB/T 33012.2-2016,ISO 11451-2:2005,修改采用
GB/T 33012.4-2016,ISO 11451-4:2006,修改采用
GB/T 33014.4-2016,ISO 11452-4:2005,修改采用
GB/T 33014.3-2016,ISO 11452-3:2001,修改采用
GB/T 33017.1-2016,,
GB/T 18916.17-2016,,
GB/T 18916.22-2016,,
GB/T 24001-2016,ISO 14001:2015,等同采用
GB/T 18916.20-2016,,
GB/T 18916.21-2016,,
GB/T 30170.2-2016,ISO 19111-2:2009,等同采用
GB/T 33121-2016,,
GB/T 33119-2016,,
GB/T 33120-2016,,
GB/T 33128-2016,,
GB/T 33127-2016,,
GB/T 33125-2016,,
GB/T 4751-2016,,
GB/T 33114-2016,,
GB/T 4752-2016,,
GB/T 33014.2-2016,ISO 11452-2:2004,修改采用
GB/T 33004-2016,,
GB/T 33006-2016,,
GB/T 33005-2016,,
GB/T 4269.2-2016,ISO 3767-2:2008,等同采用
GB/T 33044-2016,,
GB/T 33003-2016,ISO 17080:2005,等同采用
GB/T 33113-2016,,
GB/T 33200-2016,,
GB/T 32918.1-2016,,
GB/T 32720-2016,ISO 16072:2002,等同采用
GB/T 32726-2016,ISO 25177:2008,等同采用
GB/T 32741-2016,ISO 7851:1983,非等效采用
GB/T 20111.2-2016,IEC 61857-21:2009,等同采用
GB/T 32826-2016,,
GB/T 32823-2016,,
GB/T 19212.9-2016,IEC 61558-2-8:2010,修改采用
GB/T 19212.4-2016,IEC 61558-2-3:2010,修改采用
GB/T 32878-2016,,
GB/T 32977-2016,,
GB/T 1510-2016,,
GB/T 1506-2016,,
GB/T 32976-2016,,
GB/T 32907-2016,,
GB/T 22186-2016,,
GB/T 32905-2016,,
GB/T 32801-2016,,
GB/T 32798-2016,,
GB/T 3216-2016,ISO 9906:2012,等同采用
GB/T 14100-2016,ISO 2314:2009,等同采用
GB/T 32806-2016,,
GB/T 32910.3-2016,,
GB/T 32909-2016,,
GB/T 32808-2016,,
GB/T 32832-2016,,
GB/T 3000-2016,ISO 8841:1991,修改采用
GB/T 32837-2016,,
GB/T 19766-2016,,
GB/T 15579.13-2016,IEC 60974-13:2011,等同采用
GB/T 4988-2016,,
GB/T 32824-2016,,
GB/T 4702.1-2016,,
GB/T 15260-2016,,
GB/T 32975-2016,,
GB/T 32803-2016,,
GB/T 13793-2016,,
GB/T 2999-2016,ISO 8840:1987,修改采用
GB/T 20899.12-2016,,
GB/T 32896-2016,,
GB/T 32879-2016,,
GB/T 9364.4-2016,IEC 60127-4:2012,修改采用
GB/T 32901-2016,,
GB/T 32894-2016,,
GB/T 21210-2016,IEC 60034-12:2016,等同采用
GB/T 19962-2016,,
GB/T 7061-2016,,
GB/T 32926-2016,,
GB/T 20276-2016,,
GB/T 32925-2016,,
GB/T 32927-2016,,
GB/T 32918.2-2016,,
GB/T 4702.7-2016,,
GB/T 32958-2016,,
GB/T 14450-2016,ISO 16650:2004,非等效采用
GB/T 32943-2016,,
GB/T 32938-2016,,
GB/T 32941.3-2016,,
GB/T 32933-2016,,
GB/T 32937-2016,,
GB/T 17215.9321-2016,IEC/TR 62059-32-1:2011,等同采用
GB/T 32854.1-2016,,
GB/T 1224-2016,,
GB/T 32862-2016,,
GB/T 13727-2016,,
GB/T 32863-2016,,
GB/T 32859-2016,,
GB/T 32902-2016,,
GB/T 32904-2016,,
GB/T 18789.3-2016,,
GB/T 9813.1-2016,,
GB/T 32908-2016,,
GB/T 9813.2-2016,,
GB/T 32810-2016,,
GB/T 32813-2016,,
GB/T 32809-2016,,
GB/T 32816-2016,,
GB/T 32819-2016,,
GB/T 32821-2016,ISO 21789:2009,等同采用
GB/T 32921-2016,,
GB/T 32918.3-2016,,
GB/T 32915-2016,,
GB/T 32924-2016,,
GB/T 22080-2016,ISO/IEC 27001:2013,等同采用
GB/T 32923-2016,ISO/IEC 27014:2013,等同采用
GB/T 32419.3-2016,,
GB/T 5248-2016,,
GB/T 32864-2016,,
GB/T 32930-2016,,
GB/T 9567-2016,,
GB/T 3952-2016,,
GB/T 32931-2016,,
GB/T 32947-2016,,
GB/T 32817-2016,IEC 62047-4:2008,修改采用
GB/T 32944-2016,,
GB/T 31219.5-2016,,
GB/T 32805-2016,,
GB/T 32818-2016,,
GB/T 32815-2016,,
GB/T 32811-2016,,
GB/T 32804-2016,,
GB/T 32814-2016,,
GB/T 32946-2016,,
GB/T 32913-2016,ISO/IEC 19502:2005,等同采用
GB/T 32419.2-2016,,
GB/T 32918.4-2016,,
GB/T 32948-2016,,
GB/T 32897-2016,,
GB/T 32893-2016,,
GB/T 32900-2016,,
GB/T 32969-2016,,
GB/T 32959-2016,,
GB/T 32970-2016,,
GB/T 32957-2016,,
GB/T 32968-2016,,
GB/T 32967.1-2016,,
GB/T 32956-2016,,
GB/T 28878.3-2016,,
GB/T 28878.2-2016,,
GB/T 32858-2016,,
GB/T 32856-2016,,
GB/T 32855.1-2016,ISO 11354-1:2011,等同采用
GB/T 32857-2016,,
GB/T 32880.3-2016,,
GB/T 9364.11-2016,,
GB/T 32851-2016,,
GB/T 32888-2016,,
GB/T 32892-2016,,
GB/T 32912-2016,,
GB/T 18894-2016,,
GB/T 32911-2016,,
GB/T 32951-2016,,
GB/T 19343-2016,,
GB/T 32949-2016,,
GB/T 32884-2016,,
GB/T 32889-2016,,
GB/T 32723-2016,ISO 14240-1:1997,等同采用
GB/T 32737-2016,,
GB/T 32722-2016,ISO 18512:2007,等同采用
GB/T 32876-2016,IEC TR 62154:2005,修改采用
GB/T 19583-2016,,
GB/T 32850-2016,,
GB/T 32846-2016,,
GB/T 32973-2016,,
GB/T 14291-2016,,
GB/T 12606-2016,ISO 10893-3:2011,等同采用
GB/T 32972-2016,,
GB/T 32952-2016,,
GB/T 7780-2016,,
GB/T 32820-2016,ISO 22448:2010,等同采用
GB/T 32807-2016,ISO 17082:2004,等同采用
GB/T 32812-2016,,
GB/T 1094.18-2016,IEC 60076-18:2012,修改采用
GB/T 32800.3-2016,ISO 11148-3:2012,等同采用
GB/T 32677-2016,,
GB/T 32738-2016,,
GB/T 32725-2016,ISO 10381-6:2009,等同采用
GB/T 32739-2016,,
GB/T 32724-2016,ISO 15903:2002,等同采用
GB/T 14849.10-2016,,
GB/T 32792-2016,,
GB/T 32835-2016,,
GB/T 32740-2016,,
GB/T 32827-2016,,
GB/T 32830.3-2016,,
GB/T 32833-2016,,
GB/T 32898-2016,,
GB/T 32887-2016,,
GB/T 20139.1-2016,IEC 61858-1:2014,等同采用
GB/T 32899-2016,,
GB/T 32886-2016,,
GB/T 32882-2016,,
GB/T 32985-2016,,
GB/T 19212.15-2016,IEC 61558-2-14:2012,修改采用
GB/T 32890-2016,,
GB/T 32847-2016,,
GB/T 32848-2016,,
GB/T 32843-2016,,
GB/T 32954-2016,,
GB/T 32953-2016,,
GB/T 32982-2016,,
GB/T 6900-2016,,
GB/T 32981-2016,,
GB/T 7739.12-2016,,
GB/T 14048.6-2016,IEC 60947-4-2:2011,等同采用
GB/T 14048.16-2016,IEC 60947-8:2011,等同采用
GB/T 32830.2-2016,,
GB/T 6274-2016,ISO 8157:1984,非等效采用
GB/T 32978-2016,,
GB/T 32849-2016,,
GB/T 32844-2016,,
GB/T 32845-2016,,
GB/T 32830.1-2016,,
GB/T 32831-2016,,
GB/T 32829-2016,,
GB/T 32795-2016,,
GB/T 5153-2016,,
GB/T 32790-2016,,
GB/T 32791-2016,,
GB/T 14849.11-2016,,
GB/T 32793-2016,,
GB/T 32955-2016,,
GB/T 15712-2016,ISO 11692:1994,修改采用
GB/T 32965-2016,,
GB/T 32963-2016,,
GB/T 20934-2016,,
GB/T 32870-2016,,
GB/T 32867-2016,ISO 17316:2015,修改采用
GB/T 32866-2016,,
GB/T 32828-2016,,
GB/T 7247.9-2016,IEC/TR 60825-9:1999,等同采用
GB/T 32883-2016,,
GB/T 32869-2016,ISO/TS 10798:2011,等同采用
GB/T 32871-2016,,
GB/T 32872-2016,,
GB/T 32936-2016,,
GB/T 32942-2016,,
GB/T 32941.1-2016,,
GB/T 32881-2016,,
GB/T 20877-2016,IEC Guide 109:2012,修改采用
GB/T 32984-2016,,
GB/T 19862-2016,,
GB/T 32940-2016,,
GB/T 32939-2016,,
GB/T 32941.2-2016,,
GB/T 32932-2016,,
GB/T 32929-2016,,
GB/T 32853-2016,ISO 19126:2009,等同采用
GB/T 32852.1-2016,,
GB/T 32980-2016,,
GB/T 32983-2016,ISO 16534:2012,等同采用
GB/T 32979-2016,,
GB/T 32961-2016,,
GB/T 32721-2016,ISO 10832:2009,等同采用
GB/T 32752-2016,,
GB/T 32836-2016,,
GB/T 32834-2016,,
GB/T 32839-2016,,
GB/T 22387-2016,,
GB/T 14808-2016,IEC 62271-106:2011,修改采用
GB/T 9364.7-2016,IEC 60127:2013,修改采用
GB/T 18254-2016,,
GB/T 245-2016,ISO 8494:2013,等同采用
GB/T 32964-2016,,
GB/T 20000.10-2016,,
GB/T 32928-2016,,
GB/T 20000.11-2016,,
GB/T 15185-2016,,
GB/T 21384-2016,,
GB/T 32799-2016,,
GB/T 13932-2016,,
GB/T 32800.4-2016,ISO 11148-4:2012,等同采用
GB/T 32868-2016,ISO/TS 11308:2011,等同采用
GB/T 32838-2016,,
GB/T 32840-2016,,
GB/T 32841-2016,,
GB/T 32966-2016,,
GB/T 3074.4-2016,,
GB/T 4702.3-2016,,
GB/T 32962-2016,,
GB/T 25047-2016,ISO 8495:2013,等同采用
GB/T 20111.3-2016,IEC 61857-22:2008,等同采用
GB/T 32822-2016,,
GB/T 7094-2016,,
GB/T 32802-2016,,
GB/T 32797-2016,ISO 26382:2010,等同采用
GB/T 32960.1-2016,,
GB/T 5171.21-2016,,
GB/T 19078-2016,,
GB/T 32796-2016,,
GB/T 32794-2016,,
GB/T 32875-2016,,
GB/T 30428.4-2016,,
GB/T 30428.3-2016,,
GB/T 28878.4-2016,,
GB/T 32874-2016,,
GB/T 32960.2-2016,,
GB/T 32715-2016,,
GB/T 32716-2016,,
GB/T 32885-2016,,
GB/T 32891.1-2016,IEC 60034-30-1:2014,等同采用
GB/T 14048.10-2016,IEC 60947-5-2:2012,等同采用
GB/T 28878.8-2016,,
GB/T 28878.7-2016,,
GB/T 28878.5-2016,,
GB/T 32950-2016,,
GB/T 32919-2016,,
GB 1589-2016,,
GB/T 32860-2016,,
GB/T 32861-2016,,
GB/T 26774-2016,,
GB/T 14456.4-2016,,
GB/T 32779-2016,,
GB/T 32719.1-2016,,
GB/T 32734-2016,ISO 6575:1982,等同采用
GB/T 32730-2016,ISO 1237:1981,等同采用
GB/T 32736-2016,ISO 5563:1984,等同采用
GB/T 32788.4-2016,,
GB/T 4135-2016,,
GB/T 32788.3-2016,ISO 9782:1993,修改采用
GB/T 32788.5-2016,ISO 11667:1997,修改采用
GB/T 5687.4-2016,,
GB/T 32787-2016,,
GB/T 2521.2-2016,IEC 60404-8-7:2008,修改采用
GB/T 32786-2016,,
GB/T 32785-2016,,
GB/T 32754-2016,,
GB/T 7652-2016,,
GB/T 14456.3-2016,,
GB/T 32728-2016,ISO 7377:1984,等同采用
GB/T 32733-2016,ISO 5565-1:1999,等同采用
GB/T 32735-2016,ISO 6754:1996,等同采用
GB/T 32676-2016,ISO 7663:2005,修改采用
GB/T 3461-2016,,
GB/T 32678-2016,,
GB/T 32710.1-2016,,
GB/T 32706-2016,,
GB/T 32710.3-2016,,
GB/T 32708-2016,,
GB/T 7130-2016,ISO 119:1977,等同采用
GB/T 17776-2016,,
GB/T 32705-2016,,
GB/T 5473-2016,ISO 172:1978,等同采用
GB/T 32687-2016,,
GB/T 32689-2016,,
GB/T 32690-2016,,
GB/T 32680-2016,,
GB/T 32750-2016,,
GB/T 32759-2016,,
GB/T 32761-2016,,
GB/T 32710.6-2016,,
GB/T 32710.11-2016,,
GB/T 32704-2016,,
GB/T 32660.2-2016,,
GB/T 32710.12-2016,,
GB/T 32710.4-2016,,
GB/T 32751-2016,,
GB/T 32760-2016,,
GB/T 32764-2016,,
GB/T 32762-2016,,
GB/T 32782-2016,,
GB/T 32763-2016,,
GB/T 32765-2016,,
GB/T 32713-2016,,
GB/T 5461-2016,,
GB/T 32755-2016,,
GB/T 32710.5-2016,,
GB/T 12548-2016,,
GB/T 32660.3-2016,,
GB/T 32691-2016,,
GB/T 32692-2016,ISO 12161:2006,非等效采用
GB/T 32783-2016,,
GB/T 32781-2016,,
GB/T 32712-2016,,
GB/T 32757-2016,,
GB/T 32780-2016,,
GB/T 8834-2016,ISO 2307:2005,等同采用
GB/T 32784-2016,,
GB/T 32758-2016,,
GB/T 1427-2016,,
GB/T 32756-2016,,
GB/T 19389-2016,ISO 9112:2008,修改采用
GB/T 2521.1-2016,IEC 60404-8-4:2013,修改采用
GB/T 2972-2016,ISO 7989-2:2007,非等效采用
GB/T 32788.2-2016,ISO 15034:1999,修改采用
GB/T 32788.6-2016,ISO 10352:2010,修改采用
GB/T 21238-2016,ISO 10639:2004,非等效采用
GB/T 32695-2016,,
GB/T 5474-2016,ISO 120:1977,等同采用
GB/T 32698-2016,,
GB/T 32697-2016,ISO 9944:1990,等同采用
GB/T 14853.2-2016,,
GB/T 4464-2016,ISO 105-Z06:1998,修改采用
GB/T 21875-2016,,
GB/T 32699-2016,,
GB/T 32707-2016,,
GB/T 32710.7-2016,,
GB/T 32709-2016,,
GB/T 32679-2016,,
GB/T 3780.7-2016,,
GB/T 3782-2016,,
GB/T 5542-2016,,
GB/T 21883-2016,,
GB/T 32753-2016,,
GB/T 9359-2016,,
GB/T 17345-2016,,
GB/T 32749-2016,,
GB/T 27992.3-2016,,
GB/T 32703-2016,,
GB/T 32700-2016,,
GB/T 32701-2016,,
GB/T 32732-2016,ISO 5565-2:1999,等同采用
GB/T 3409.2-2016,,
GB/T 32729-2016,ISO 11165:1995,等同采用
GB/T 32748-2016,,
GB/T 32743-2016,,
GB/T 32682-2016,ISO 16770:2004,修改采用
GB/T 30921.4-2016,,
GB/T 32681-2016,ISO 11409:1993,修改采用
GB/T 32710.2-2016,,
GB/T 32710.9-2016,,
GB/T 32710.8-2016,,
GB/T 32710.10-2016,,
GB/T 32731-2016,ISO 7542:1984,等同采用
GB/T 32745-2016,,
GB/T 32747-2016,,
GB/T 32710.13-2016,,
GB/T 32702-2016,,
GB/T 3780.21-2016,ISO 1437:2007,修改采用
GB/T 32684-2016,ISO 11402:2004,修改采用
GB/T 32675-2016,ISO 9771:1995,修改采用
GB/T 3780.22-2016,,
GB/T 13235.1-2016,ISO 7507-1:2003,修改采用
GB/T 258-2016,,
GB/T 32693-2016,,
GB/T 1202-2016,,
GB 2024-2016,,
GB/T 503-2016,,
GB/T 18610.2-2016,,
GB 15213-2016,IEC 60976:2007,非等效采用
GB/T 32773-2016,,
GB/T 32742-2016,,
GB/T 32744-2016,,
GB/T 32768-2016,,
GB/T 30921.6-2016,,
GB/T 32683.1-2016,ISO 12058-1:1997,修改采用
GB/T 32685-2016,,
GB/T 30921.3-2016,,
GB/T 32772-2016,,
GB/T 32714-2016,,
GB/T 32767-2016,,
GB/T 32776-2016,,
GB/T 32771-2016,,
GB 15811-2016,ISO 7864:1993,非等效采用
GB/T 14456.6-2016,,
GB/T 9176-2016,,
GB/T 32719.4-2016,,
GB/T 32696-2016,ISO 18917:1999,等同采用
GB/T 30921.2-2016,,
GB/T 30921.5-2016,,
GB/T 30921.7-2016,,
GB/T 22271.3-2016,,
GB/T 32719.2-2016,,
GB/T 32727-2016,ISO 6577:2002,等同采用
GB/T 18110-2016,IEC 61116:1992,修改采用
GB/T 14456.5-2016,,
GB/T 32719.3-2016,,
GB/T 32770-2016,,
GB/T 32769-2016,,
GB/T 32774-2016,,
GB/T 32686-2016,,
GB/T 32688-2016,ISO 8619:2003,修改采用
GB/T 32775-2016,,
GB/T 10501-2016,,
GB/T 32766-2016,,
GB/T 32717-2016,,
GB/T 32777-2016,,
GB/T 32746-2016,,
GB/T 32789-2016,,
GB/T 32788.1-2016,ISO 15040:1999,修改采用
GB/T 2775-2016,IEC 60915:2006,等同采用
GB/T 17421.7-2016,ISO 230-7:2006,等同采用
GB/T 32665-2016,,
GB/T 13539.4-2016,IEC 60269-4:2012,等同采用
GB/T 32595-2016,,
GB/T 32576-2016,,
GB/T 32599-2016,,
GB/T 32661-2016,,
GB/T 32674-2016,,
GB/T 32598-2016,ISO 105-A04:1989,修改采用
GB/T 6151-2016,ISO 105-A01:2010,修改采用
GB/T 3810.10-2016,ISO 10545-10:1995,等同采用
GB/T 19161-2016,,
GB/T 3810.12-2016,ISO 10545-12:1995,等同采用
GB/T 3810.9-2016,ISO 10545-9:2013,等同采用
GB/T 32637-2016,,
GB/T 32636.2-2016,,
GB/T 32613-2016,,
GB/T 32609-2016,,
GB/T 32607-2016,,
GB/T 32602-2016,,
GB/T 14094-2016,IEC 60357:2011,非等效采用
GB/T 19655-2016,IEC 60927:2007,等同采用
GB/T 32630-2016,,
GB/T 32593-2016,IEC 62590:2010,修改采用
GB/T 32580.1-2016,IEC 62505-1:2009,修改采用
GB/T 32591-2016,,
GB/T 32579-2016,IEC 62589:2010,修改采用
GB/T 32580.303-2016,IEC 62505-3-3:2009,修改采用
GB/T 17421.4-2016,ISO 230-4:2005,等同采用
GB/T 32666.1-2016,,
GB/T 30217.2-2016,ISO/TR 13624-2:2009,等同采用
GB/T 32667-2016,,
GB/T 32666.2-2016,,
GB/T 32483.1-2016,IEC 62442-1:2011,等同采用
GB/T 12772-2016,ISO 6594:2006,非等效采用
GB/T 32660.1-2016,,
GB/T 16284.9-2016,ISO/IEC 10021-9:1999,修改采用
GB/T 32656-2016,,
GB/T 18031-2016,,
GB/T 15972.48-2016,IEC 60793-1-48:2007,非等效采用
GB/T 32580.2-2016,IEC 62505-2:2009,修改采用
GB/T 20004.1-2016,,
GB/T 32601.2-2016,ISO 11721-2:2003,修改采用
GB/T 32600.1-2016,ISO 9903-1:2003,修改采用
GB/T 32601.1-2016,ISO 11721-1:2001,修改采用
GB/T 32615-2016,ISO 26243:2007,等同采用
GB/T 32612-2016,,
GB/T 20090.16-2016,,
GB/T 32616-2016,ISO 105-A05:1996,修改采用
GB/T 32626-2016,,
GB/T 32627-2016,,
GB/T 32632.2-2016,,
GB/T 32631-2016,,
GB/T 32617-2016,,
GB/T 32636.1-2016,,
GB/T 32603-2016,,
GB/T 7249-2016,IEC 60630:2009,等同采用
GB/T 3810.2-2016,ISO 10545-2:1995,修改采用
GB/T 32605-2016,,
GB/T 15551-2016,,
GB/T 3810.1-2016,ISO 10545-1:2014,修改采用
GB/T 3810.4-2016,ISO 10545-4:2014,等同采用
GB/T 7611-2016,,
GB/T 32618-2016,,
GB/T 32588.1-2016,IEC 62267:2009,修改采用
GB/T 32580.302-2016,IEC 62505-3-2:2009,修改采用
GB/T 14048.8-2016,IEC 60947-7-2:2009,修改采用
GB/T 6809.5-2016,ISO 7967-5:2010,等同采用
GB/T 32662-2016,,
GB/T 31864-2016,,
GB/T 32671.1-2016,ISO 13099-1:2012,等同采用
GB/T 32668-2016,,
GB/T 32669-2016,,
GB/T 3810.11-2016,ISO 10545-11:1994,等同采用
GB/T 12357.4-2016,IEC 60793-2-40:2009,非等效采用
GB/T 32659-2016,,
GB/T 16284.10-2016,ISO/IEC 10021-10:1999,修改采用
GB/T 16284.8-2016,ISO/IEC 10021-8:1999,等同采用
GB/T 13993.1-2016,,
GB/T 32658-2016,,
GB/T 32577-2016,IEC/TS 62597:2011,修改采用
GB/T 21561.3-2016,,
GB/T 32670-2016,,
GB/T 32600.2-2016,ISO 9903-2:2003,修改采用
GB/T 32606-2016,,
GB/T 32610-2016,,
GB/T 32604-2016,ISO 105-A08:2001,等同采用
GB/T 32608-2016,,
GB/T 32597-2016,,
GB/T 32657.2-2016,,
GB/T 13519-2016,,
GB/T 30440.5-2016,,
GB/T 32629-2016,ISO/IEC 24708:2008,等同采用
GB/T 32633-2016,,
GB/T 32619-2016,,
GB/T 30269.702-2016,,
GB/T 3810.16-2016,ISO 10545-16:2010,等同采用
GB/T 3810.5-2016,ISO 10545-5:1996,等同采用
GB/T 3810.15-2016,ISO 10545-15:1995,等同采用
GB/T 3810.7-2016,ISO 10545-7:1996,等同采用
GB/T 3810.3-2016,ISO 10545-3:1995,等同采用
GB/T 30269.601-2016,,
GB/T 19483-2016,,
GB/T 32580.301-2016,IEC 62505-3-1:2009,修改采用
GB/Z 22201-2016,,
GB/Z 32583-2016,,
GB/Z 22200-2016,,
GB/T 32578-2016,IEC 60913:2013,修改采用
GB/T 5441-2016,,
GB/T 31960.9-2016,,
GB/T 32673-2016,,
GB/T 3810.14-2016,ISO 10545-14:1995,等同采用
GB/T 32589-2016,,
GB/T 5075-2016,,
GB/T 20388-2016,ISO 14389:2014,修改采用
GB/T 9102-2016,,
GB/T 21656-2016,IEC 61231:2010,等同采用
GB/T 15766.2-2016,IEC 60810:2013,修改采用
GB/T 27020-2016,ISO/IEC 17020:2012,等同采用
GB/T 32575-2016,,
GB/T 32594-2016,,
GB/T 32574-2016,,
GB/T 24218.10-2016,ISO 9073-10:2003,修改采用
GB/T 14033-2016,,
GB/T 32611-2016,,
GB/T 20144-2016,IEC 60399:2008,等同采用
GB/T 3810.6-2016,ISO 10545-6:2010,等同采用
GB/T 17421.6-2016,ISO 230-6:2002,等同采用
GB/T 32623-2016,,
GB/T 32663-2016,ISO 24233:2008,等同采用
GB/T 32666.3-2016,,
GB/T 32664-2016,ISO 16916:2004,等同采用
GB/T 24826-2016,IEC 62504:2014,等同采用
GB/T 32672-2016,,
GB/T 31960.11-2016,,
GB/T 31960.10-2016,,
GB/T 3810.8-2016,ISO 10545-8:2014,等同采用
GB/T 3810.13-2016,ISO 10545-13:1995,等同采用
GB/T 32586-2016,IEC 62621:2011,修改采用
GB/T 5273-2016,IEC/TR 62271-301:2009,修改采用
GB/Z 32582-2016,IEC 62542 FDIS:2013,修改采用
GB/T 16935.3-2016,IEC 60664-3:2010（第2.1版）,等同采用
GB/T 32642-2016,,
GB/T 32555-2016,,
GB/T 32624-2016,,
GB/T 32621-2016,,
GB/T 19287-2016,,
GB/T 32638-2016,,
GB/T 29265.304-2016,,
GB/T 32634-2016,,
GB/T 6495.11-2016,,
GB/T 32635-2016,,
GB/Z 22202-2016,,
GB/T 32596-2016,,
GB/Z 32585-2016,,
GB/T 18759.6-2016,,
GB/T 31596.6-2016,,
GB/T 32572-2016,,
GB/T 1000-2016,,
GB/T 13870.2-2016,IEC/TS 60479-2:2007,等同采用
GB/T 10963.3-2016,,
GB/T 13870.5-2016,IEC/TR 60479-5:2007,等同采用
GB/T 32644-2016,,
GB/T 32646-2016,,
GB/T 32639-2016,,
GB/T 32647-2016,,
GB/T 32651-2016,,
GB/T 32655-2016,,
GB/T 32654-2016,,
GB/T 32645-2016,,
GB/T 2691-2016,IEC 60062:2004,等同采用
GB/T 32584-2016,,
GB/Z 22074-2016,,
GB/T 18473-2016,,
GB/T 2900.97-2016,IEC 60050-395:2014,等同采用
GB/T 2900.98-2016,IEC 60050-114:2014,等同采用
GB/Z 22204-2016,,
GB/T 2900.55-2016,IEC 60050-651:2014,等同采用
GB/T 32587-2016,,
GB/T 32643-2016,,
GB/T 32653-2016,,
GB/T 32650-2016,,
GB/T 32649-2016,,
GB/T 32652-2016,,
GB/T 32641-2016,,
GB/T 32648-2016,,
GB/T 32625-2016,,
